image_id,haze_level,psnr,ssim_gaussian11,deltaE00
rrshid_test_0001_1,moderate,15.78630542755127,0.5295020937919617,20.51909637451172
rrshid_test_0002_1014,moderate,17.578144073486328,0.5860094428062439,17.080345153808594
rrshid_test_0003_1021,moderate,18.849666595458984,0.6011300086975098,16.21717643737793
rrshid_test_0004_1048,moderate,19.2574520111084,0.6506905555725098,16.2861385345459
rrshid_test_0005_1067,moderate,12.028631210327148,0.38027140498161316,21.560226440429688
rrshid_test_0006_1072,moderate,12.570418357849121,0.43128955364227295,23.041078567504883
rrshid_test_0007_108,moderate,17.734966278076172,0.4818838834762573,11.526596069335938
rrshid_test_0008_1098,moderate,19.649860382080078,0.5890482664108276,13.207544326782227
rrshid_test_0009_1101,moderate,15.992278099060059,0.4523119330406189,20.234020233154297
rrshid_test_0010_1108,moderate,15.284181594848633,0.4532015919685364,12.93015193939209
rrshid_test_0011_1134,moderate,13.314410209655762,0.48546046018600464,22.98448944091797
rrshid_test_0012_1167,moderate,18.5701904296875,0.5978556871414185,13.400558471679688
rrshid_test_0013_1190,moderate,16.514135360717773,0.5527673363685608,15.301939010620117
rrshid_test_0014_1201,moderate,20.560569763183594,0.6430677771568298,13.333803176879883
rrshid_test_0015_1209,moderate,14.554445266723633,0.5017784237861633,22.206287384033203
rrshid_test_0016_1219,moderate,18.946638107299805,0.506287157535553,13.636581420898438
rrshid_test_0017_1233,moderate,18.92273712158203,0.6282602548599243,15.92516040802002
rrshid_test_0018_1249,moderate,13.879220962524414,0.4523267149925232,21.27369499206543
rrshid_test_0019_1253,moderate,18.989355087280273,0.5250087380409241,12.886881828308105
rrshid_test_0020_1264,moderate,13.216938972473145,0.45634517073631287,21.559925079345703
rrshid_test_0021_1271,moderate,19.556987762451172,0.6323368549346924,10.710777282714844
rrshid_test_0022_1294,moderate,17.760112762451172,0.6220762133598328,17.74420928955078
rrshid_test_0023_1299,moderate,15.56787109375,0.5112366080284119,17.771257400512695
rrshid_test_0024_1305,moderate,16.531606674194336,0.6287658214569092,21.719358444213867
rrshid_test_0025_1311,moderate,19.092004776000977,0.578779399394989,17.570228576660156
rrshid_test_0026_1321,moderate,10.892443656921387,0.4552050828933716,32.2669677734375
rrshid_test_0027_1339,moderate,18.389930725097656,0.6287765502929688,15.858835220336914
rrshid_test_0028_134,moderate,18.055662155151367,0.6332546472549438,20.777944564819336
rrshid_test_0029_136,moderate,14.6594820022583,0.3630210757255554,15.88096809387207
rrshid_test_0030_1398,moderate,19.242074966430664,0.4943554103374481,13.474485397338867
rrshid_test_0031_1408,moderate,15.848226547241211,0.5012166500091553,16.301334381103516
rrshid_test_0032_1414,moderate,14.400232315063477,0.40785861015319824,20.002450942993164
rrshid_test_0033_1443,moderate,15.94558334350586,0.5160386562347412,17.39344024658203
rrshid_test_0034_145,moderate,13.088617324829102,0.5014631748199463,26.290796279907227
rrshid_test_0035_1453,moderate,16.749004364013672,0.5792855620384216,18.741533279418945
rrshid_test_0036_1463,moderate,18.772008895874023,0.6510285139083862,17.262073516845703
rrshid_test_0037_1469,moderate,16.538379669189453,0.5909476280212402,17.763172149658203
rrshid_test_0038_154,moderate,14.976360321044922,0.447134405374527,21.67498207092285
rrshid_test_0039_1542,moderate,15.718045234680176,0.5240930318832397,23.289146423339844
rrshid_test_0040_1543,moderate,15.76317024230957,0.46907860040664673,21.484359741210938
rrshid_test_0041_1555,moderate,12.126365661621094,0.3964273929595947,27.283349990844727
rrshid_test_0042_1561,moderate,16.36171531677246,0.5240699052810669,22.358736038208008
rrshid_test_0043_1563,moderate,15.313553810119629,0.5023402571678162,24.781173706054688
rrshid_test_0044_1601,moderate,20.147493362426758,0.669316828250885,17.03257942199707
rrshid_test_0045_1606,moderate,15.477264404296875,0.42717137932777405,17.124977111816406
rrshid_test_0046_1608,moderate,15.303281784057617,0.3951942026615143,17.079668045043945
rrshid_test_0047_163,moderate,15.299073219299316,0.5397414565086365,22.663314819335938
rrshid_test_0048_1636,moderate,16.10335922241211,0.4876036047935486,15.968430519104004
rrshid_test_0049_1666,moderate,17.75763511657715,0.43217650055885315,12.720434188842773
rrshid_test_0050_1673,moderate,18.127273559570312,0.45724305510520935,15.088289260864258
rrshid_test_0051_1691,moderate,16.62635612487793,0.464213103055954,15.329911231994629
rrshid_test_0052_1706,moderate,15.2030029296875,0.34221500158309937,18.151123046875
rrshid_test_0053_1741,moderate,14.671442031860352,0.4447137117385864,21.205514907836914
rrshid_test_0054_1787,moderate,14.266683578491211,0.2956162393093109,23.409250259399414
rrshid_test_0055_1809,moderate,15.040035247802734,0.44633910059928894,16.566650390625
rrshid_test_0056_1810,moderate,18.568649291992188,0.48315468430519104,13.635175704956055
rrshid_test_0057_1814,moderate,16.715152740478516,0.5120605826377869,15.446739196777344
rrshid_test_0058_1822,moderate,13.923710823059082,0.3611220717430115,20.40330696105957
rrshid_test_0059_1844,moderate,14.29053783416748,0.3937113881111145,23.714176177978516
rrshid_test_0060_1856,moderate,12.744284629821777,0.35031604766845703,25.422035217285156
rrshid_test_0061_1869,moderate,10.767518043518066,0.18146862089633942,28.239055633544922
rrshid_test_0062_1873,moderate,11.565140724182129,0.22823414206504822,29.23334503173828
rrshid_test_0063_1899,moderate,15.79794692993164,0.31005170941352844,20.02675437927246
rrshid_test_0064_1900,moderate,13.26303482055664,0.42077434062957764,22.337583541870117
rrshid_test_0065_1929,moderate,13.495399475097656,0.22304515540599823,23.849401473999023
rrshid_test_0066_193,moderate,18.071796417236328,0.5142887234687805,17.25634765625
rrshid_test_0067_1931,moderate,14.070943832397461,0.18562373518943787,20.8670711517334
rrshid_test_0068_1935,moderate,10.492354393005371,0.3225081264972687,31.953746795654297
rrshid_test_0069_1961,moderate,16.033342361450195,0.49995172023773193,15.263851165771484
rrshid_test_0070_1985,moderate,17.159502029418945,0.3364473879337311,16.733497619628906
rrshid_test_0071_1989,moderate,16.4090576171875,0.4183100759983063,17.256555557250977
rrshid_test_0072_2040,moderate,11.782638549804688,0.3840198218822479,27.491695404052734
rrshid_test_0073_2041,moderate,14.830167770385742,0.42759469151496887,18.319669723510742
rrshid_test_0074_2044,moderate,12.293922424316406,0.3308081030845642,30.0606746673584
rrshid_test_0075_2049,moderate,10.916692733764648,0.334127813577652,32.36198425292969
rrshid_test_0076_2060,moderate,18.316194534301758,0.5351666808128357,14.407824516296387
rrshid_test_0077_2061,moderate,17.41033935546875,0.49756965041160583,19.096921920776367
rrshid_test_0078_2106,moderate,9.895915031433105,0.38151055574417114,35.371726989746094
rrshid_test_0079_2107,moderate,17.620826721191406,0.5086824297904968,15.85505485534668
rrshid_test_0080_2108,moderate,18.0919246673584,0.4976426661014557,13.728769302368164
rrshid_test_0081_2116,moderate,18.970521926879883,0.5623201727867126,13.055218696594238
rrshid_test_0082_2132,moderate,16.11896324157715,0.5164806246757507,22.135162353515625
rrshid_test_0083_2143,moderate,12.787947654724121,0.4745163321495056,27.005313873291016
rrshid_test_0084_2146,moderate,14.564848899841309,0.38222837448120117,20.57607650756836
rrshid_test_0085_2174,moderate,16.409595489501953,0.5229153037071228,22.85922622680664
rrshid_test_0086_2236,moderate,15.412311553955078,0.4607466459274292,22.42402458190918
rrshid_test_0087_2237,moderate,14.935062408447266,0.4468328356742859,24.129905700683594
rrshid_test_0088_2261,moderate,13.611727714538574,0.4981585144996643,24.193708419799805
rrshid_test_0089_2297,moderate,10.559295654296875,0.30433380603790283,28.427202224731445
rrshid_test_0090_2299,moderate,15.392512321472168,0.4767230153083801,17.25848960876465
rrshid_test_0091_2313,moderate,13.63807201385498,0.4389370381832123,24.362428665161133
rrshid_test_0092_2331,moderate,13.372559547424316,0.42577502131462097,25.325782775878906
rrshid_test_0093_2350,moderate,13.908294677734375,0.42918819189071655,25.645069122314453
rrshid_test_0094_2386,moderate,15.89718246459961,0.43033280968666077,18.558429718017578
rrshid_test_0095_2405,moderate,13.3069429397583,0.4014192223548889,29.739871978759766
rrshid_test_0096_2408,moderate,15.394525527954102,0.5163403153419495,22.293066024780273
rrshid_test_0097_2427,moderate,11.68731689453125,0.3584884703159332,32.405235290527344
rrshid_test_0098_2434,moderate,15.738729476928711,0.4427127540111542,22.23095703125
rrshid_test_0099_2444,moderate,14.32666015625,0.5645412802696228,30.43627166748047
rrshid_test_0100_2446,moderate,13.360818862915039,0.5561005473136902,30.30492401123047
rrshid_test_0101_2447,moderate,14.691914558410645,0.4881056845188141,22.50727081298828
rrshid_test_0102_2474,moderate,13.471917152404785,0.5001954436302185,29.218124389648438
rrshid_test_0103_2483,moderate,12.803581237792969,0.4673396348953247,32.253299713134766
rrshid_test_0104_2505,moderate,13.742938995361328,0.39374223351478577,24.715694427490234
rrshid_test_0105_2550,moderate,17.753999710083008,0.3984631597995758,20.241985321044922
rrshid_test_0106_2561,moderate,15.104959487915039,0.4915711283683777,26.30716323852539
rrshid_test_0107_2583,moderate,12.222098350524902,0.26514583826065063,24.611045837402344
rrshid_test_0108_2585,moderate,12.814796447753906,0.5195140838623047,32.33972930908203
rrshid_test_0109_2615,moderate,15.448858261108398,0.49884504079818726,23.7783260345459
rrshid_test_0110_2637,moderate,13.34566593170166,0.3457413911819458,31.111845016479492
rrshid_test_0111_2650,moderate,13.57790470123291,0.43176305294036865,26.643646240234375
rrshid_test_0112_2689,moderate,12.38254165649414,0.3232928216457367,31.380300521850586
rrshid_test_0113_2691,moderate,12.356148719787598,0.3888116776943207,31.330562591552734
rrshid_test_0114_2719,moderate,16.142925262451172,0.38624733686447144,13.421871185302734
rrshid_test_0115_2720,moderate,11.60773754119873,0.29084092378616333,26.516658782958984
rrshid_test_0116_2790,moderate,16.471193313598633,0.35438457131385803,13.063082695007324
rrshid_test_0117_2791,moderate,11.557052612304688,0.2619461417198181,26.377662658691406
rrshid_test_0118_2809,moderate,14.311594009399414,0.2698405385017395,22.974794387817383
rrshid_test_0119_2836,moderate,17.484954833984375,0.44179338216781616,11.547645568847656
rrshid_test_0120_2839,moderate,16.414714813232422,0.31418082118034363,14.59116268157959
rrshid_test_0121_2859,moderate,15.796134948730469,0.31334999203681946,19.055734634399414
rrshid_test_0122_2888,moderate,13.298453330993652,0.24047836661338806,23.338109970092773
rrshid_test_0123_2913,moderate,14.760588645935059,0.35019856691360474,15.144657135009766
rrshid_test_0124_292,moderate,11.598119735717773,0.28886520862579346,25.67304229736328
rrshid_test_0125_320,moderate,18.63951873779297,0.6097269058227539,16.617639541625977
rrshid_test_0126_337,moderate,17.041831970214844,0.543313205242157,21.481861114501953
rrshid_test_0127_338,moderate,12.868886947631836,0.325796902179718,24.739816665649414
rrshid_test_0128_35,moderate,20.45858383178711,0.6015530824661255,12.932246208190918
rrshid_test_0129_360,moderate,14.887532234191895,0.48395052552223206,20.10708236694336
rrshid_test_0130_373,moderate,13.550830841064453,0.41172394156455994,22.564970016479492
rrshid_test_0131_411,moderate,20.04514503479004,0.5842907428741455,13.83387565612793
rrshid_test_0132_417,moderate,14.316343307495117,0.3839337229728699,19.693382263183594
rrshid_test_0133_451,moderate,14.238794326782227,0.4878164827823639,15.477666854858398
rrshid_test_0134_454,moderate,16.469825744628906,0.5157343745231628,11.248422622680664
rrshid_test_0135_49,moderate,15.716033935546875,0.5480802655220032,20.078144073486328
rrshid_test_0136_579,moderate,13.984413146972656,0.41513383388519287,21.214500427246094
rrshid_test_0137_65,moderate,16.197776794433594,0.5647020936012268,18.165950775146484
rrshid_test_0138_699,moderate,11.754518508911133,0.4076336622238159,27.774768829345703
rrshid_test_0139_701,moderate,16.418384552001953,0.4945123493671417,15.296699523925781
rrshid_test_0140_703,moderate,13.814902305603027,0.5046506524085999,23.993947982788086
rrshid_test_0141_708,moderate,16.681598663330078,0.5509542226791382,18.55728530883789
rrshid_test_0142_71,moderate,20.916358947753906,0.6426916718482971,13.709386825561523
rrshid_test_0143_712,moderate,17.772157669067383,0.545272171497345,17.215831756591797
rrshid_test_0144_752,moderate,16.401504516601562,0.4738520085811615,15.793755531311035
rrshid_test_0145_786,moderate,14.143595695495605,0.5110424757003784,24.768821716308594
rrshid_test_0146_789,moderate,12.288749694824219,0.4450114369392395,25.353124618530273
rrshid_test_0147_81,moderate,17.143274307250977,0.5959305763244629,18.080034255981445
rrshid_test_0148_864,moderate,16.733861923217773,0.5413467884063721,19.257125854492188
rrshid_test_0149_907,moderate,17.596242904663086,0.604144811630249,19.916637420654297
rrshid_test_0150_929,moderate,18.241262435913086,0.6148008704185486,16.62584686279297
rrshid_test_0151_989,moderate,17.48348617553711,0.5995518565177917,14.734554290771484
rrshid_test_0152_99,moderate,12.551309585571289,0.40551087260246277,24.575847625732422
rrshid_test_0153_1060,thick,15.338028907775879,0.4170793890953064,20.898727416992188
rrshid_test_0154_1104,thick,10.172944068908691,0.20456399023532867,28.11043357849121
rrshid_test_0155_1116,thick,11.270793914794922,0.37172409892082214,30.04903793334961
rrshid_test_0156_1145,thick,17.89840316772461,0.47191646695137024,13.090865135192871
rrshid_test_0157_1164,thick,14.430980682373047,0.538448691368103,25.60878562927246
rrshid_test_0158_1243,thick,14.278244018554688,0.3497404158115387,20.259784698486328
rrshid_test_0159_1262,thick,15.719488143920898,0.4651431143283844,21.927921295166016
rrshid_test_0160_1369,thick,15.573748588562012,0.45451968908309937,23.755226135253906
rrshid_test_0161_1370,thick,14.538668632507324,0.5190441012382507,27.04138946533203
rrshid_test_0162_1388,thick,18.421863555908203,0.5854818224906921,17.101232528686523
rrshid_test_0163_1520,thick,12.300460815429688,0.2900236248970032,24.811386108398438
rrshid_test_0164_156,thick,14.701475143432617,0.3896190822124481,19.952810287475586
rrshid_test_0165_1852,thick,7.397121906280518,0.21417346596717834,41.57246780395508
rrshid_test_0166_1891,thick,7.877673149108887,0.18965184688568115,40.71369552612305
rrshid_test_0167_1907,thick,5.798327922821045,0.15188615024089813,50.619415283203125
rrshid_test_0168_1910,thick,10.099044799804688,0.18613389134407043,31.307533264160156
rrshid_test_0169_1911,thick,8.790936470031738,0.22277691960334778,37.20967102050781
rrshid_test_0170_221,thick,11.757614135742188,0.3735833764076233,21.520139694213867
rrshid_test_0171_232,thick,11.939836502075195,0.4315108060836792,25.820640563964844
rrshid_test_0172_2487,thick,14.67074203491211,0.48239460587501526,25.849557876586914
rrshid_test_0173_2495,thick,12.371500015258789,0.11062728613615036,28.61368751525879
rrshid_test_0174_2527,thick,14.198036193847656,0.4296066462993622,25.06967544555664
rrshid_test_0175_2568,thick,10.601325035095215,0.3537198007106781,40.518585205078125
rrshid_test_0176_2591,thick,14.113824844360352,0.4601879417896271,29.531352996826172
rrshid_test_0177_2630,thick,11.423866271972656,0.36922866106033325,33.810062408447266
rrshid_test_0178_2643,thick,12.371780395507812,0.28811198472976685,25.619064331054688
rrshid_test_0179_2696,thick,10.09982967376709,0.2103472799062729,35.85649108886719
rrshid_test_0180_274,thick,12.740464210510254,0.44648411870002747,25.28706932067871
rrshid_test_0181_315,thick,12.214797973632812,0.4561688303947449,27.371662139892578
rrshid_test_0182_335,thick,15.634239196777344,0.3837016820907593,18.68333625793457
rrshid_test_0183_353,thick,12.428680419921875,0.46526476740837097,27.026979446411133
rrshid_test_0184_354,thick,11.764396667480469,0.4393504858016968,28.346107482910156
rrshid_test_0185_362,thick,17.548969268798828,0.57285475730896,15.626151084899902
rrshid_test_0186_374,thick,14.750982284545898,0.3908717632293701,19.747638702392578
rrshid_test_0187_404,thick,10.452815055847168,0.34750255942344666,30.070934295654297
rrshid_test_0188_429,thick,10.28167724609375,0.3124634921550751,30.07499885559082
rrshid_test_0189_431,thick,10.772194862365723,0.3402408957481384,30.796409606933594
rrshid_test_0190_435,thick,14.826728820800781,0.4598180055618286,18.530948638916016
rrshid_test_0191_478,thick,14.437841415405273,0.5224629640579224,18.50653839111328
rrshid_test_0192_480,thick,12.124648094177246,0.42366844415664673,25.314741134643555
rrshid_test_0193_486,thick,9.575085639953613,0.2486514449119568,27.647390365600586
rrshid_test_0194_508,thick,13.087611198425293,0.41529062390327454,25.881750106811523
rrshid_test_0195_516,thick,11.98836898803711,0.46354472637176514,27.695972442626953
rrshid_test_0196_517,thick,12.439498901367188,0.45945894718170166,25.351972579956055
rrshid_test_0197_520,thick,10.210829734802246,0.37136563658714294,31.811767578125
rrshid_test_0198_578,thick,14.518854141235352,0.39674219489097595,16.60150909423828
rrshid_test_0199_589,thick,17.809898376464844,0.580052375793457,16.42729949951172
rrshid_test_0200_596,thick,9.545403480529785,0.2907545566558838,30.499446868896484
rrshid_test_0201_598,thick,10.330799102783203,0.46813341975212097,27.91649055480957
rrshid_test_0202_602,thick,15.73361587524414,0.4795286953449249,16.150707244873047
rrshid_test_0203_609,thick,8.926230430603027,0.20554518699645996,32.439517974853516
rrshid_test_0204_635,thick,11.519678115844727,0.3901987075805664,25.179058074951172
rrshid_test_0205_638,thick,10.498966217041016,0.48633337020874023,27.4571533203125
rrshid_test_0206_645,thick,9.04844856262207,0.3142250180244446,33.68161392211914
rrshid_test_0207_655,thick,11.477593421936035,0.3733336925506592,27.983600616455078
rrshid_test_0208_674,thick,16.258243560791016,0.5671907067298889,17.24866485595703
rrshid_test_0209_682,thick,14.50871467590332,0.5001384615898132,22.06466293334961
rrshid_test_0210_684,thick,8.633675575256348,0.27049916982650757,34.59518814086914
rrshid_test_0211_685,thick,11.861084938049316,0.40637582540512085,25.210046768188477
rrshid_test_0212_698,thick,11.696359634399414,0.4263674318790436,29.803571701049805
rrshid_test_0213_725,thick,14.980439186096191,0.5137051939964294,18.40831756591797
rrshid_test_0214_757,thick,8.559077262878418,0.21914012730121613,34.04618453979492
rrshid_test_0215_759,thick,8.755792617797852,0.28269320726394653,39.01570129394531
rrshid_test_0216_764,thick,19.540546417236328,0.6386178731918335,14.175636291503906
rrshid_test_0217_765,thick,19.71311378479004,0.6499149203300476,13.751150131225586
rrshid_test_0218_801,thick,11.624646186828613,0.3379203677177429,24.003955841064453
rrshid_test_0219_820,thick,11.92436408996582,0.44207197427749634,28.521865844726562
rrshid_test_0220_851,thick,14.26205062866211,0.4502062201499939,19.25240707397461
rrshid_test_0221_858,thick,12.360329627990723,0.3517409861087799,27.531055450439453
rrshid_test_0222_885,thick,14.095462799072266,0.3523159325122833,17.140090942382812
rrshid_test_0223_897,thick,12.675995826721191,0.4425230324268341,27.76091194152832
rrshid_test_0224_899,thick,11.115743637084961,0.31146037578582764,28.374839782714844
rrshid_test_0225_911,thick,12.650280952453613,0.3922090232372284,25.262767791748047
rrshid_test_0226_956,thick,15.91585922241211,0.4588116407394409,18.400726318359375
rrshid_test_0227_957,thick,14.202152252197266,0.5025713443756104,23.70572853088379
rrshid_test_0228_961,thick,11.808444023132324,0.28700903058052063,26.964866638183594
rrshid_test_0229_1023,thin,24.147188186645508,0.7460601925849915,8.281506538391113
rrshid_test_0230_1035,thin,14.831341743469238,0.44863203167915344,17.110897064208984
rrshid_test_0231_1075,thin,18.71333885192871,0.5952784419059753,16.658348083496094
rrshid_test_0232_1230,thin,18.962953567504883,0.6457244753837585,16.07468032836914
rrshid_test_0233_1291,thin,19.82684898376465,0.6678637266159058,14.963801383972168
rrshid_test_0234_1292,thin,20.33977699279785,0.6321690678596497,14.778395652770996
rrshid_test_0235_1295,thin,20.733875274658203,0.5797225832939148,12.427986145019531
rrshid_test_0236_130,thin,21.084442138671875,0.5511564016342163,10.194602966308594
rrshid_test_0237_1422,thin,18.64104461669922,0.5275130271911621,12.624618530273438
rrshid_test_0238_1432,thin,17.625497817993164,0.4739391505718231,15.297750473022461
rrshid_test_0239_1571,thin,19.059316635131836,0.6268150210380554,15.314668655395508
rrshid_test_0240_1615,thin,17.88597869873047,0.527775228023529,14.23293399810791
rrshid_test_0241_1738,thin,19.0096378326416,0.5916724801063538,15.657885551452637
rrshid_test_0242_1744,thin,14.527588844299316,0.5678091049194336,15.409933090209961
rrshid_test_0243_1746,thin,18.776687622070312,0.5536589026451111,9.363971710205078
rrshid_test_0244_1747,thin,19.206987380981445,0.48823538422584534,12.243261337280273
rrshid_test_0245_1762,thin,17.11469268798828,0.5977843999862671,12.821593284606934
rrshid_test_0246_184,thin,19.985553741455078,0.6857479810714722,13.771127700805664
rrshid_test_0247_2033,thin,12.914094924926758,0.3021765947341919,20.576478958129883
rrshid_test_0248_2036,thin,17.28743553161621,0.4985896348953247,14.472959518432617
rrshid_test_0249_2163,thin,19.266437530517578,0.5812528133392334,13.31445026397705
rrshid_test_0250_2250,thin,17.272140502929688,0.521164059638977,14.121939659118652
rrshid_test_0251_2343,thin,17.763914108276367,0.47078612446784973,15.75717544555664
rrshid_test_0252_2369,thin,18.891307830810547,0.48402437567710876,13.921554565429688
rrshid_test_0253_2372,thin,13.679333686828613,0.3836963474750519,23.98908805847168
rrshid_test_0254_2375,thin,16.683086395263672,0.47374242544174194,15.919156074523926
rrshid_test_0255_2389,thin,19.25725746154785,0.5510156154632568,12.438070297241211
rrshid_test_0256_2399,thin,17.76936149597168,0.512556791305542,15.07109546661377
rrshid_test_0257_2451,thin,16.090930938720703,0.4767323136329651,21.89939308166504
rrshid_test_0258_2465,thin,20.00819969177246,0.5777324438095093,14.424581527709961
rrshid_test_0259_2481,thin,15.804485321044922,0.4715929925441742,18.96455955505371
rrshid_test_0260_2511,thin,18.26053810119629,0.4666628837585449,18.19875717163086
rrshid_test_0261_2543,thin,16.771343231201172,0.4887741804122925,21.225038528442383
rrshid_test_0262_2672,thin,17.447696685791016,0.5254843235015869,24.511096954345703
rrshid_test_0263_27,thin,17.023611068725586,0.5156041979789734,17.11874771118164
rrshid_test_0264_2706,thin,17.923416137695312,0.4163724184036255,14.363510131835938
rrshid_test_0265_2725,thin,17.346036911010742,0.4878135323524475,13.001338005065918
rrshid_test_0266_2727,thin,16.927867889404297,0.42075860500335693,14.10224437713623
rrshid_test_0267_2738,thin,16.401023864746094,0.3621940612792969,16.535062789916992
rrshid_test_0268_2741,thin,15.178062438964844,0.39457347989082336,19.710817337036133
rrshid_test_0269_2749,thin,22.473155975341797,0.5493643283843994,6.241093635559082
rrshid_test_0270_2759,thin,17.3649959564209,0.4504545331001282,12.72403335571289
rrshid_test_0271_2772,thin,17.50933074951172,0.3668859601020813,13.811029434204102
rrshid_test_0272_2820,thin,15.746213912963867,0.32360193133354187,15.055191993713379
rrshid_test_0273_2863,thin,19.273927688598633,0.34969601035118103,10.641738891601562
rrshid_test_0274_2867,thin,18.495119094848633,0.39840978384017944,9.415121078491211
rrshid_test_0275_2892,thin,18.33673095703125,0.27645909786224365,12.61109447479248
rrshid_test_0276_2896,thin,20.637248992919922,0.5012527108192444,12.624537467956543
rrshid_test_0277_2898,thin,19.281753540039062,0.4045158326625824,13.281707763671875
rrshid_test_0278_2903,thin,19.86036491394043,0.4702617824077606,8.591154098510742
rrshid_test_0279_2908,thin,18.161733627319336,0.4248386323451996,9.874267578125
rrshid_test_0280_2918,thin,19.63556671142578,0.4665367901325226,9.721808433532715
rrshid_test_0281_2919,thin,15.594249725341797,0.37525737285614014,16.161989212036133
rrshid_test_0282_2931,thin,15.430865287780762,0.2815631628036499,18.443912506103516
rrshid_test_0283_2940,thin,14.868059158325195,0.3341560661792755,24.43838119506836
rrshid_test_0284_2946,thin,22.61825942993164,0.5175430774688721,6.561439514160156
rrshid_test_0285_2953,thin,16.465557098388672,0.3523651361465454,15.412134170532227
rrshid_test_0286_2955,thin,17.633804321289062,0.35609206557273865,13.547468185424805
rrshid_test_0287_2956,thin,17.68370246887207,0.40189796686172485,14.47255802154541
rrshid_test_0288_2966,thin,14.508038520812988,0.2840314507484436,18.601490020751953
rrshid_test_0289_2976,thin,17.310598373413086,0.3698044419288635,15.033939361572266
rrshid_test_0290_2993,thin,13.575011253356934,0.13564573228359222,24.61637306213379
rrshid_test_0291_2996,thin,19.080177307128906,0.23343361914157867,15.09701919555664
rrshid_test_0292_2999,thin,19.24188232421875,0.34719744324684143,16.04912567138672
rrshid_test_0293_3008,thin,19.171133041381836,0.4430164396762848,13.517043113708496
rrshid_test_0294_3044,thin,18.89324951171875,0.5301145911216736,16.117815017700195
rrshid_test_0295_457,thin,12.677385330200195,0.29646095633506775,19.073375701904297
rrshid_test_0296_46,thin,20.20650863647461,0.621902346611023,11.388419151306152
rrshid_test_0297_47,thin,20.68016242980957,0.59507155418396,11.436104774475098
rrshid_test_0298_498,thin,18.792598724365234,0.4669226109981537,11.631243705749512
rrshid_test_0299_57,thin,22.864173889160156,0.6564645171165466,11.00639533996582
rrshid_test_0300_823,thin,19.007308959960938,0.5590387582778931,15.367668151855469
rrshid_test_0301_88,thin,19.746862411499023,0.5714437365531921,11.75736141204834
rrshid_test_0302_95,thin,20.656734466552734,0.5479439496994019,13.541921615600586
rrshid_test_0303_972,thin,15.885653495788574,0.4526922106742859,18.13692855834961
rrshid_test_0304_990,thin,19.40180778503418,0.6272605061531067,11.64938735961914
