method_key,method_label,image_id,haze_level,psnr,ssim_gaussian11,deltaE00
spagan,SpA-GAN,satehaze1k_test_thin_001,thin,24.625694274902344,0.9634777903556824,5.598205089569092
spagan,SpA-GAN,satehaze1k_test_thin_002,thin,23.749692916870117,0.9558075666427612,6.175103187561035
spagan,SpA-GAN,satehaze1k_test_thin_003,thin,25.149539947509766,0.9514257311820984,5.103602409362793
spagan,SpA-GAN,satehaze1k_test_thin_004,thin,25.20469856262207,0.9585656523704529,4.950011253356934
spagan,SpA-GAN,satehaze1k_test_thin_005,thin,23.96348762512207,0.9472299218177795,5.6486101150512695
spagan,SpA-GAN,satehaze1k_test_thin_006,thin,24.920211791992188,0.9590154886245728,4.940367698669434
spagan,SpA-GAN,satehaze1k_test_thin_007,thin,25.749910354614258,0.9630886316299438,5.059636116027832
spagan,SpA-GAN,satehaze1k_test_thin_008,thin,24.274078369140625,0.958167552947998,5.826332092285156
spagan,SpA-GAN,satehaze1k_test_thin_009,thin,24.133892059326172,0.9523043036460876,5.529670238494873
spagan,SpA-GAN,satehaze1k_test_thin_010,thin,23.654756546020508,0.9439920783042908,5.732205390930176
spagan,SpA-GAN,satehaze1k_test_thin_011,thin,25.341171264648438,0.9540078639984131,5.038010597229004
spagan,SpA-GAN,satehaze1k_test_thin_012,thin,24.52939224243164,0.951447069644928,5.340983867645264
spagan,SpA-GAN,satehaze1k_test_thin_013,thin,23.85260581970215,0.9457159638404846,5.646539688110352
spagan,SpA-GAN,satehaze1k_test_thin_014,thin,26.033916473388672,0.9619252681732178,4.8956499099731445
spagan,SpA-GAN,satehaze1k_test_thin_015,thin,24.927396774291992,0.9652220010757446,5.509561061859131
spagan,SpA-GAN,satehaze1k_test_thin_016,thin,25.571083068847656,0.9640337824821472,4.994786262512207
spagan,SpA-GAN,satehaze1k_test_thin_017,thin,24.2103271484375,0.9539743661880493,5.835832118988037
spagan,SpA-GAN,satehaze1k_test_thin_018,thin,25.364219665527344,0.954958438873291,5.074974536895752
spagan,SpA-GAN,satehaze1k_test_thin_019,thin,25.01898193359375,0.9618558287620544,5.235124588012695
spagan,SpA-GAN,satehaze1k_test_thin_020,thin,25.26816177368164,0.9549115300178528,4.91744327545166
spagan,SpA-GAN,satehaze1k_test_thin_021,thin,25.855024337768555,0.9592418670654297,4.679711818695068
spagan,SpA-GAN,satehaze1k_test_thin_022,thin,24.53692626953125,0.9600030779838562,5.026867389678955
spagan,SpA-GAN,satehaze1k_test_thin_023,thin,23.78658676147461,0.9547027349472046,6.298768043518066
spagan,SpA-GAN,satehaze1k_test_thin_024,thin,25.80683708190918,0.96049565076828,4.714125633239746
spagan,SpA-GAN,satehaze1k_test_thin_025,thin,24.254884719848633,0.9509459733963013,5.800290584564209
spagan,SpA-GAN,satehaze1k_test_thin_026,thin,25.987539291381836,0.9607936143875122,4.866579055786133
spagan,SpA-GAN,satehaze1k_test_thin_027,thin,23.712434768676758,0.9552650451660156,6.184464454650879
spagan,SpA-GAN,satehaze1k_test_thin_028,thin,25.12620735168457,0.9522237181663513,4.927168369293213
spagan,SpA-GAN,satehaze1k_test_thin_029,thin,25.170551300048828,0.9517541527748108,5.02375602722168
spagan,SpA-GAN,satehaze1k_test_thin_030,thin,25.465702056884766,0.957894504070282,4.81730842590332
spagan,SpA-GAN,satehaze1k_test_thin_031,thin,25.11416244506836,0.9524179697036743,5.08101749420166
spagan,SpA-GAN,satehaze1k_test_thin_032,thin,25.824243545532227,0.9659457206726074,4.825739860534668
spagan,SpA-GAN,satehaze1k_test_thin_033,thin,24.989978790283203,0.9528017640113831,5.109282970428467
spagan,SpA-GAN,satehaze1k_test_thin_034,thin,25.47217559814453,0.9595820307731628,5.013344764709473
spagan,SpA-GAN,satehaze1k_test_thin_035,thin,23.504697799682617,0.9496263265609741,5.848601818084717
spagan,SpA-GAN,satehaze1k_test_thin_036,thin,25.55232048034668,0.9562309980392456,4.982506275177002
spagan,SpA-GAN,satehaze1k_test_thin_037,thin,23.370819091796875,0.943523645401001,5.793107032775879
spagan,SpA-GAN,satehaze1k_test_thin_038,thin,25.96198272705078,0.9666522145271301,4.8504486083984375
spagan,SpA-GAN,satehaze1k_test_thin_039,thin,24.9385929107666,0.9497495293617249,5.083961486816406
spagan,SpA-GAN,satehaze1k_test_thin_040,thin,25.387901306152344,0.9600274562835693,4.815272808074951
spagan,SpA-GAN,satehaze1k_test_thin_041,thin,25.750673294067383,0.9603317975997925,4.887500762939453
spagan,SpA-GAN,satehaze1k_test_thin_042,thin,24.8953800201416,0.9590907692909241,4.945367336273193
spagan,SpA-GAN,satehaze1k_test_thin_043,thin,25.51409149169922,0.9649278521537781,4.996922492980957
spagan,SpA-GAN,satehaze1k_test_thin_044,thin,26.022045135498047,0.9684911966323853,4.811753273010254
spagan,SpA-GAN,satehaze1k_test_thin_045,thin,25.171493530273438,0.952093243598938,5.109594345092773
spagan,SpA-GAN,satehaze1k_test_moderate_001,moderate,23.813262939453125,0.9214900135993958,8.097916603088379
spagan,SpA-GAN,satehaze1k_test_moderate_002,moderate,24.940080642700195,0.9126496315002441,8.868276596069336
spagan,SpA-GAN,satehaze1k_test_moderate_003,moderate,26.614032745361328,0.9503667950630188,6.132458209991455
spagan,SpA-GAN,satehaze1k_test_moderate_004,moderate,24.45844268798828,0.9303945302963257,7.5804901123046875
spagan,SpA-GAN,satehaze1k_test_moderate_005,moderate,24.657230377197266,0.9275972247123718,7.072324275970459
spagan,SpA-GAN,satehaze1k_test_moderate_006,moderate,26.065881729125977,0.9407588839530945,7.861805438995361
spagan,SpA-GAN,satehaze1k_test_moderate_007,moderate,26.112548828125,0.9480757117271423,6.348235130310059
spagan,SpA-GAN,satehaze1k_test_moderate_008,moderate,25.14501953125,0.929238498210907,8.164417266845703
spagan,SpA-GAN,satehaze1k_test_moderate_009,moderate,23.700576782226562,0.9329308867454529,7.5104146003723145
spagan,SpA-GAN,satehaze1k_test_moderate_010,moderate,25.80051040649414,0.9495298862457275,5.989657402038574
spagan,SpA-GAN,satehaze1k_test_moderate_011,moderate,24.67815399169922,0.9307061433792114,6.703188419342041
spagan,SpA-GAN,satehaze1k_test_moderate_012,moderate,25.143596649169922,0.9477970600128174,6.611613750457764
spagan,SpA-GAN,satehaze1k_test_moderate_013,moderate,25.019668579101562,0.948843777179718,6.655546188354492
spagan,SpA-GAN,satehaze1k_test_moderate_014,moderate,27.261241912841797,0.9442294239997864,6.562093734741211
spagan,SpA-GAN,satehaze1k_test_moderate_015,moderate,25.67558479309082,0.9120597839355469,7.947878837585449
